id,order,suborder,family,subfamily,genus,species,group,in.code,plant,pl.code,date,foundation,microh,plot,repl,in.length,in.mass,in.guild,fl.fam
1,Hymenoptera,Aculeata,Apidae,Apinae,Apis,mellifera,bee,apimel,Hormathophylla spinosa,horspi,20150710,s,w,14,3,11.85,20.19,pollinator,Brassicaceae
2,Lepidoptera,Rhopalocera,Lycaenidae,Polyommatinae,Polyommatus,icarus,butterfly,polica,Lotus corniculatus subsp glacialis,lotcor,20150715,s,o,14,4,11.9,8.48,pollinator,Fabaceae
3,Hymenoptera,Aculeata,Apidae,Apinae,Apis,mellifera,bee,apimel,Arenaria tetraquetra subsp amabilis,aretet,20150708,h,w,14,2,12.86,21.68,pollinator,Caryophyllaceae
4,Hymenoptera,Aculeata,Apidae,Apinae,Bombus,terrestris lusitanicus,bumblebee,bomlus,Leucanthemopsis pectinata,leupec,20150707,s,o,13,1,14.46,67.9,pollinator,Asteraceae
5,Hemiptera,Heteroptera,Lygaeidae,Lygaeinae,Spilostethus,pandurus,bee,spipan,Arenaria tetraquetra subsp amabilis,aretet,20150709,h,a,13,2,4.36,2.95,herbivore,Caryophyllaceae
6,Hymenoptera,Aculeata,Apidae,Apinae,Apis,mellifera,bee,apimel,Hormathophylla spinosa,horspi,20150708,s,a,2,2,14.1,22.41,pollinator,Brassicaceae
7,Diptera,Brachycera,Syrphidae,Syrphinae,Scaeva,albomaculata,hoverfly,scaalb,Hormathophylla spinosa,horspi,20150711,s,w,3,3,13.24,12.406,pollinator,Brassicaceae
8,Hymenoptera,Aculeata,Megachilidae,Megachilinae,Megachile,parietina,bee,megpar,Anthyllis vulneraria subsp pseudoarundana,antvul,20150716,h,o,8,5,16.81,65.58,pollinator,Fabaceae
9,Hymenoptera,parasitica,Braconidae,Braconinae,Bracon,spA,,braspa,Hormathophylla spinosa,horspi,20150706,s,a,9,1,4.33,0.59,parasitoid,Brassicaceae
10,Coleoptera,Polyphaga,Chrysomelidae,Galerucinae,Galeruca,sp,,galesp,Hormathophylla spinosa,horspi,20150706,s,a,9,1,7.83,10.7,herbivore,Brassicaceae
11,Diptera,Brachycera,Syrphidae,Syrphinae,Scaeva,albomaculata,hoverfly,scaalb,Hormathophylla spinosa,horspi,20150716,s,w,2,5,11.04,9.076,pollinator,Brassicaceae
12,Hymenoptera,Aculeata,Apidae,Apinae,Apis,mellifera,bee,apimel,Sideritis glacialis,sidgla,20150724,h,o,5,8,13.44,22.11,pollinator,Lamiaceae
13,Lepidoptera,Rhopalocera,Nymphalidae,Nymphalinae,Nymphalis,urticae,butterfly,nymurt,Arenaria tetraquetra subsp amabilis,aretet,20150717,h,a,1,5,13.72,48.73,pollinator,Caryophyllaceae
14,Diptera,Nematocera,Bibionidae,Bibioninae,Dilophus,femoratus,,dilfem,Jasione amethystina,jasame,20150710,h,w,11,3,4.58,1.4,scavenger,Campanulaceae
15,Hymenoptera,Aculeata,Megachilidae,Megachilinae,Megachile,sp,bee,megasp,Anthyllis vulneraria subsp pseudoarundana,antvul,20150708,h,o,7,2,15.19,38.09,pollinator,Fabaceae
16,Hymenoptera,Aculeata,Apidae,Apinae,Apis,mellifera,bee,apimel,Sideritis glacialis,sidgla,20150717,h,o,5,5,13.97,22.18,pollinator,Lamiaceae
17,Diptera,Brachycera,Tabanidae,Tabaninae,Haematopota,sp,,haemsp,Arenaria tetraquetra subsp amabilis,aretet,20150724,h,a,7,8,10.48,20.68,predator,Caryophyllaceae
18,Diptera,Brachycera,Sarcophagidae,Paramacronychiinae,Wohlfahrtia,bella,fly,wohbel,Arenaria tetraquetra subsp amabilis,aretet,20150710,h,a,12,3,11.31,48.88,pollinator,Caryophyllaceae
19,Diptera,Brachycera,Muscidae,Muscinae,Neomyia,cornicina,fly,neocor,Hormathophylla spinosa,horspi,20150719,s,a,8,6,8.23,29.39,pollinator,Brassicaceae
20,Diptera,Brachycera,Muscidae,Azeliinae,Thricops,culminum,fly,thrcul,Leucanthemopsis pectinata,leupec,20150708,s,o,13,2,6.46,8.49,pollinator,Asteraceae
21,Coleoptera,Polyphaga,Malachiidae,Malachiinae,spB,spB,,malspb,Leucanthemopsis pectinata,leupec,20150708,s,o,13,2,3.71,1.27,herbivore,Asteraceae
